instruction,input,output
,What is the purpose of the First National Bank Employee Handbook?,"The Employee Handbook is designed to provide clear guidelines regarding First National Bank's policies, procedures, and practices; outline the benefits available to eligible employees; communicate expectations for employee conduct and performance; ensure compliance with banking regulations and employment laws; and foster a positive and productive work environment. While the handbook contains a great deal of information, it cannot anticipate every situation or answer every question about employment at First National Bank. The policies described are not conditions of employment, and the language is not intended to create a contract between First National Bank and its employees."
,What are the core values of First National Bank?,"First National Bank's core values are: 1) Integrity: Conducting business ethically and honestly, always doing what is right for customers, employees, and communities; 2) Excellence: Striving for exceptional performance in everything, constantly seeking to improve and innovate; 3) Customer Focus: Building lasting relationships by understanding customers' needs and delivering solutions that exceed their expectations; 4) Teamwork: Collaborating effectively, respecting diverse perspectives, and supporting each other to achieve common goals; 5) Community Commitment: Actively contributing to the economic and social well-being of the communities served; 6) Accountability: Taking ownership of actions and decisions, learning from both successes and failures; 7) Respect: Treating everyone with dignity and respect, valuing the diversity of ideas, backgrounds, and experiences."
,What is First National Bank's Equal Employment Opportunity policy?,"First National Bank is committed to providing equal employment opportunities to all individuals without regard to race, color, religion, sex, national origin, age, disability, marital status, veteran status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. This policy applies to all terms and conditions of employment, including but not limited to hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training. The Bank is committed to maintaining a workplace free from any form of unlawful discrimination and will make reasonable accommodations for qualified individuals with known disabilities unless doing so would result in an undue hardship. Anyone found to be engaging in unlawful discrimination will be subject to disciplinary action, up to and including termination of employment."
,Explain First National Bank's employment-at-will policy.,"Employment with First National Bank is voluntary and is subject to termination by the employee or the Bank at will, with or without cause, and with or without notice, at any time. Nothing in the employee handbook shall be interpreted to conflict with or to eliminate or modify in any way the employment-at-will status of First National Bank employees. This policy of employment-at-will may not be modified by any officer or employee and shall not be modified in any publication or document. The only exception to this policy is a written employment agreement approved by the CEO or Board of Directors of the Bank. These personnel policies are not intended to be a contract of employment or a legal document."
,What are the different employee classifications at First National Bank?,"First National Bank classifies its employees as follows: 1) Full-time Regular Employees: Not in temporary status and regularly scheduled to work at least 35 hours per week. Generally eligible for the full benefits package. 2) Part-time Regular Employees: Not in temporary status and regularly scheduled to work less than 35 hours per week. Those working at least 20 hours per week are eligible for some benefits. 3) Temporary Employees: Hired as interim replacements, to temporarily supplement the workforce, or to assist in specific projects. Typically limited to six months and not eligible for benefits unless notified otherwise. 4) Non-exempt Employees: Entitled to overtime pay under the Fair Labor Standards Act (FLSA) and required to submit time records. 5) Exempt Employees: Not entitled to overtime pay under the FLSA and employed in executive, administrative, professional, outside sales, or certain computer-related capacities."
,What is the probationary period for new employees?,"The first 90 days of employment at First National Bank are considered a probationary period. During this time, employees have the opportunity to evaluate the Bank as a place to work, and management has the opportunity to evaluate the employee's job performance. New employees will receive training and guidance from their supervisor, and performance evaluations may be conducted at the end of the probationary period. Completion of the probationary period does not guarantee continued employment and does not change the at-will employment relationship. Either the employee or the Bank may end the employment relationship at any time during or after the probationary period, with or without cause or advance notice."
,What is First National Bank's policy on employment of relatives?,"While First National Bank does not prohibit the employment of relatives, the Bank is committed to ensuring fair and equal treatment of all employees. To avoid conflicts of interest or the appearance of favoritism, relatives of persons currently employed by the Bank may be hired only if they will not be working directly for or supervising a relative or will not occupy a position in the same line of authority within the organization. For the purposes of this policy, a relative is any person who is related by blood or marriage, or whose relationship with the employee is similar to that of persons who are related by blood or marriage. If a relationship is established after employment that creates a conflict or potential for conflict, the employees may be separated by reassignment or terminated from employment. Even if there is no line of authority or reporting involved, employees may be separated by reassignment or terminated if a conflict or potential conflict arises due to their relationship."
,What are the bank's expectations regarding confidentiality and non-disclosure?,"The protection of confidential business information and trade secrets is vital to the interests and success of First National Bank. Such confidential information includes, but is not limited to: customer information and data, financial information, marketing strategies, pending projects and proposals, proprietary processes, research and development strategies, and technological data and systems. All employees are required to sign a confidentiality and non-disclosure agreement as a condition of employment. Employees who improperly use or disclose trade secrets or confidential business information will be subject to disciplinary action, up to and including termination of employment and legal action, even if they do not actually benefit from the disclosed information. Upon termination of employment, employees must return all documents, papers, and other materials that may contain confidential information."
,What is included in First National Bank's Code of Ethics?,"First National Bank's Code of Ethics establishes fundamental principles and expectations for everyone who works at the Bank. All employees are expected to: 1) Comply with all applicable laws, rules, and regulations; 2) Act with integrity and honesty in all dealings with customers, colleagues, and other stakeholders; 3) Avoid conflicts of interest between work and personal affairs; 4) Maintain confidentiality of customer and company information; 5) Report suspected violations of the Code or other Bank policies; 6) Treat all individuals with respect and dignity; 7) Conduct business in a way that positively reflects on the Bank; 8) Protect Bank assets and ensure their efficient use; 9) Promote a culture of ethical decision-making. The Code of Ethics applies to all employees, officers, and directors of First National Bank. Violations of the Code may result in disciplinary action, up to and including termination of employment."
,What is First National Bank's dress code policy?,"First National Bank expects all employees to present a professional, business-like appearance while at work. General guidelines include: clothing should be clean, pressed, and in good condition; attire should be modest and appropriate for a business environment; good personal hygiene is expected; strongly scented perfumes or colognes should be avoided; visible tattoos should be minimal and non-offensive; exotic hairstyles and unnaturally colored hair are generally not permitted; facial jewelry other than earrings should be minimal. Business Professional Attire (required for customer-facing positions) includes business suits, dress shirts with ties, dress pants, blazers, and dress shoes for men; and business suits, dresses, skirts, blouses, dress pants, blazers, and dress shoes for women. Business Casual Attire (may be permitted for non-customer-facing positions or designated casual days) includes dress slacks or khakis, button-down shirts, polo shirts, sweaters, loafers or dress shoes for men; and casual dresses, skirts, slacks, blouses, sweaters, dress shoes or dress sandals for women. Not permitted: jeans (except on authorized casual days), t-shirts, sweatshirts, athletic wear, shorts, leggings, yoga pants, revealing clothing, flip-flops, sneakers, casual sandals, and hats or caps inside the building (unless required for religious purposes)."
